Rank,Actual Gross,Adjusted Gross 2022,Artist,Tour title,Year(s),Shows,Average gross
1,780000000,780000000,Taylor Swift,The Eras Tour,2023-2024,56,13928571
2,579800000,579800000,Beyonce,Renaissance World Tour,2023,56,10353571
3,411000000,560622615,Madonna,Sticky & Sweet Tour,2008-2009,85,4835294
4,397300000,454751555,Pink,Beautiful Trauma World Tour,2018-2019,156,2546795
5,345675146,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173
6,305158363,388978496,Madonna,The MDNA Tour,2012,88,3467709
7,280000000,381932682,Celine Dion,Taking Chances World Tour,2008-2009,131,2137405
7,257600000,257600000,Pink,Summer Carnival,2023-2024,41,6282927
9,256084556,312258401,Beyonce,The Formation World Tour,2016,49,5226215
10,250400000,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882
11,229100000,283202896,Beyonce,The Mrs. Carter Show World Tour,2013-2014,132,1735606
12,227400000,295301479,Lady Gaga,The Monster Ball Tour *,2009-2011,203,1118227
13,204000000,251856802,Katy Perry,Prismatic World Tour,2014-2015,151,1350993
14,200000000,299676265,Cher,Living Proof: The Farewell Tour,2002-2005,325,615385
15,194000000,281617035,Madonna,Confessions Tour,2006,60,3233333
16,184000000,227452347,Pink,The Truth About Love Tour,2013-2014,142,1295775
17,170000000,213568571,Lady Gaga,Born This Way Ball,2012-2013,98,1734694
18,169800000,207046755,Madonna,Rebel Heart Tour,2015-2016,82,2070732
19,167700000,204486106,Adele,Adele Live 2016,2016-2017,121,1385950
20,150000000,185423109,Taylor Swift,The Red Tour,2013-2014,86,1744186
